DATE,VISITOR,VISITOR_PTS,HOME,HOME_PTS,WINNER,HOME_NRtg,HOME_DRtg,HOME_ORtg,HOME_DRB%,HOME_SRS,HOME_MOV,HOME_PACE,VISITOR_NRtg,VISITOR_DRtg,VISITOR_ORtg,VISITOR_DRB%,VISITOR_SRS,VISITOR_MOV,VISITOR_PACE,HOME_LAST_SEASON_W%,VISITOR_LAST_SEASON_W%,HOME_GAME,AWAY GAME,HOME_W%,VISITOR_W%,HOME_B2B,VISITOR_B2B,HOME_W%_AT_HOME,VISITOR_W%_ON_ROAD,HOME_LAST_20,VISITOR_LAST_20
2017-10-20,UTA,97,MIN,100,1,-4.1,112.2,108.1,77.2,-3.78,-4.3,103.4,3.2,109.4,112.6,79.0,3.2,3.17,98.4,0.43902439024390244,0.6097560975609756,1,0,0.0,1.0,0,0,0.0,0.0,0.0,1.0
2017-10-20,SAC,93,DAL,88,0,6.1,110.6,116.7,77.4,5.84,6.04,99.1,-1.9,111.6,109.7,78.5,-1.44,-1.92,98.4,0.4024390243902439,0.47560975609756095,1,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
2017-10-20,GSW,128,NOP,120,0,-0.8,111.6,110.8,78.1,0.3,-0.83,103.9,-8.6,113.8,105.2,76.4,-7.92,-8.71,100.3,0.4024390243902439,0.6951219512195121,1,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
2017-10-20,LAL,132,PHO,130,0,-1.3,111.8,110.5,78.3,-1.04,-1.37,101.4,7.4,105.6,113.0,78.4,7.75,7.41,100.9,0.23170731707317074,0.45121951219512196,1,0,0.0,0.0,0,1,0.0,0.0,0.0,0.0
2017-10-21,PHI,94,TOR,128,1,6.4,105.2,111.6,76.1,5.88,6.45,100.6,2.2,108.2,110.4,80.4,2.22,2.22,98.8,0.7073170731707317,0.6219512195121951,1,0,1.0,0.0,0,1,1.0,0.0,1.0,0.0
2017-10-21,SAS,87,CHI,77,0,-3.1,109.8,106.7,75.6,-3.81,-3.08,99.7,-1.8,113.7,111.9,79.2,-1.19,-1.76,100.0,0.2682926829268293,0.5853658536585366,1,0,0.0,1.0,0,0,0.0,0.0,0.0,1.0
2017-10-21,ORL,114,CLE,93,0,-7.9,115.4,107.5,77.4,-7.57,-7.89,98.7,-1.0,109.0,108.0,79.0,-0.85,-0.97,98.3,0.23170731707317074,0.5121951219512195,1,0,1.0,0.5,1,1,1.0,0.0,1.0,0.5
2017-10-21,DAL,91,HOU,107,1,3.6,110.2,113.8,75.6,3.78,3.75,103.3,6.1,110.6,116.7,77.4,5.84,6.04,99.1,0.6463414634146342,0.4024390243902439,1,0,1.0,0.0,0,1,0.0,0.0,1.0,0.0
2017-10-21,GSW,101,MEM,111,1,-1.0,110.4,109.4,77.6,-1.05,-1.08,102.8,-8.6,113.8,105.2,76.4,-7.92,-8.71,100.3,0.4024390243902439,0.6951219512195121,1,0,1.0,0.5,0,1,1.0,1.0,1.0,0.5
2017-10-21,IND,108,MIA,112,1,3.3,109.4,112.7,79.7,2.58,3.23,98.1,2.0,108.3,110.3,77.1,1.61,1.94,98.5,0.47560975609756095,0.5853658536585366,1,0,0.0,0.5,0,1,0.0,0.0,0.0,0.5
2017-10-21,DET,111,NYK,107,0,-6.5,113.0,106.5,78.3,-6.55,-6.45,98.6,-3.7,112.7,109.0,75.9,-4.22,-3.56,97.6,0.2073170731707317,0.5,1,0,0.0,0.5,0,1,0.0,0.0,0.0,0.5
2017-10-21,POR,110,MIL,113,1,10.7,101.9,112.6,81.7,10.44,11.29,105.0,-1.6,114.1,112.5,75.0,-1.11,-1.61,100.7,0.7317073170731707,0.6463414634146342,1,0,0.5,1.0,1,1,0.0,1.0,0.5,1.0
2017-10-21,SAC,79,DEN,96,1,3.0,109.5,112.5,77.0,3.02,2.95,97.2,-1.9,111.6,109.7,78.5,-1.44,-1.92,98.4,0.6585365853658537,0.47560975609756095,1,0,0.0,0.5,0,1,0.0,1.0,0.0,0.5
2017-10-21,OKC,87,UTA,96,1,3.2,109.4,112.6,79.0,3.2,3.17,98.4,2.5,109.1,111.6,76.8,2.79,2.45,98.6,0.6097560975609756,0.5975609756097561,1,0,0.5,1.0,1,0,1.0,0.0,0.5,1.0
2017-10-21,PHO,88,LAC,130,1,6.4,107.2,113.6,77.3,6.74,6.52,101.8,-1.3,111.8,110.5,78.3,-1.04,-1.37,101.4,0.5853658536585366,0.23170731707317074,1,0,1.0,0.0,0,1,0.0,0.0,1.0,0.0
2017-10-22,ATL,104,BRK,116,1,-0.6,108.7,108.1,77.8,-1.18,-0.64,101.2,-7.6,114.8,107.2,74.9,-7.57,-7.97,103.0,0.5121951219512195,0.35365853658536583,1,0,0.5,0.5,0,0,1.0,0.5,0.5,0.5
2017-10-22,MIN,115,OKC,113,0,2.5,109.1,111.6,76.8,2.79,2.45,98.6,-4.1,112.2,108.1,77.2,-3.78,-4.3,103.4,0.5975609756097561,0.43902439024390244,1,0,0.5,0.5,1,0,1.0,0.0,0.5,0.5
2017-10-22,NOP,119,LAL,112,0,7.4,105.6,113.0,78.4,7.75,7.41,100.9,-0.8,111.6,110.8,78.1,0.3,-0.83,103.9,0.45121951219512196,0.4024390243902439,1,0,0.5,0.0,0,0,0.0,0.0,0.5,0.0
2017-10-23,PHI,97,DET,86,0,-3.7,112.7,109.0,75.9,-4.22,-3.56,97.6,2.2,108.2,110.4,80.4,2.22,2.22,98.8,0.5,0.6219512195121951,1,0,0.6666666666666666,0.0,0,0,1.0,0.0,0.6666666666666666,0.0
2017-10-23,ATL,93,MIA,104,1,3.3,109.4,112.7,79.7,2.58,3.23,98.1,-7.6,114.8,107.2,74.9,-7.57,-7.97,103.0,0.47560975609756095,0.35365853658536583,1,0,0.5,0.3333333333333333,0,1,1.0,0.3333333333333333,0.5,0.3333333333333333
2017-10-23,MEM,98,HOU,90,0,3.6,110.2,113.8,75.6,3.78,3.75,103.3,-1.0,110.4,109.4,77.6,-1.05,-1.08,102.8,0.6463414634146342,0.4024390243902439,1,0,1.0,1.0,0,0,1.0,0.0,1.0,1.0
2017-10-23,CHO,94,MIL,103,1,10.7,101.9,112.6,81.7,10.44,11.29,105.0,-7.0,113.3,106.3,74.4,-6.88,-6.75,95.8,0.7317073170731707,0.47560975609756095,1,0,0.6666666666666666,0.5,0,0,0.5,0.0,0.6666666666666666,0.5
2017-10-23,GSW,133,DAL,103,0,6.1,110.6,116.7,77.4,5.84,6.04,99.1,-8.6,113.8,105.2,76.4,-7.92,-8.71,100.3,0.4024390243902439,0.6951219512195121,1,0,0.0,0.3333333333333333,0,0,0.0,0.5,0.0,0.3333333333333333
2017-10-23,TOR,97,SAS,101,1,-1.8,113.7,111.9,79.2,-1.19,-1.76,100.0,6.4,105.2,111.6,76.1,5.88,6.45,100.6,0.5853658536585366,0.7073170731707317,1,0,1.0,1.0,0,0,1.0,0.0,1.0,1.0
2017-10-23,WAS,109,DEN,104,0,3.0,109.5,112.5,77.0,3.02,2.95,97.2,-3.9,115.8,111.9,74.9,-4.86,-4.05,102.8,0.6585365853658537,0.3902439024390244,1,0,0.5,1.0,0,0,1.0,0.0,0.5,1.0
2017-10-23,SAC,115,PHO,117,1,-1.3,111.8,110.5,78.3,-1.04,-1.37,101.4,-1.9,111.6,109.7,78.5,-1.44,-1.92,98.4,0.23170731707317074,0.47560975609756095,1,0,0.0,0.3333333333333333,0,0,0.0,0.5,0.0,0.3333333333333333
2017-10-24,CHI,112,CLE,119,1,-7.9,115.4,107.5,77.4,-7.57,-7.89,98.7,-3.1,109.8,106.7,75.6,-3.81,-3.08,99.7,0.23170731707317074,0.2682926829268293,1,0,0.6666666666666666,0.0,0,0,0.5,0.0,0.6666666666666666,0.0
2017-10-24,BRK,121,ORL,125,1,-1.0,109.0,108.0,79.0,-0.85,-0.97,98.3,-0.6,108.7,108.1,77.8,-1.18,-0.64,101.2,0.5121951219512195,0.5121951219512195,1,0,0.6666666666666666,0.6666666666666666,0,0,1.0,0.0,0.6666666666666666,0.6666666666666666
2017-10-24,NYK,89,BOS,110,1,6.1,106.8,112.9,77.5,5.69,6.17,99.3,-6.5,113.0,106.5,78.3,-6.55,-6.45,98.6,0.5975609756097561,0.2073170731707317,1,0,0.3333333333333333,0.0,0,0,0.0,0.0,0.3333333333333333,0.0
2017-10-24,IND,130,MIN,107,0,-4.1,112.2,108.1,77.2,-3.78,-4.3,103.4,2.0,108.3,110.3,77.1,1.61,1.94,98.5,0.43902439024390244,0.5853658536585366,1,0,0.6666666666666666,0.3333333333333333,0,0,1.0,0.0,0.6666666666666666,0.3333333333333333
2017-10-24,NOP,93,POR,103,1,-1.6,114.1,112.5,75.0,-1.11,-1.61,100.7,-0.8,111.6,110.8,78.1,0.3,-0.83,103.9,0.6463414634146342,0.4024390243902439,1,0,0.6666666666666666,0.3333333333333333,0,0,0.0,0.5,0.6666666666666666,0.3333333333333333
2017-10-24,UTA,84,LAC,102,1,6.4,107.2,113.6,77.3,6.74,6.52,101.8,3.2,109.4,112.6,79.0,3.2,3.17,98.4,0.5853658536585366,0.6097560975609756,1,0,1.0,0.6666666666666666,0,0,1.0,0.0,1.0,0.6666666666666666
2017-10-25,DEN,93,CHO,110,1,-7.0,113.3,106.3,74.4,-6.88,-6.75,95.8,3.0,109.5,112.5,77.0,3.02,2.95,97.2,0.47560975609756095,0.6585365853658537,1,0,0.3333333333333333,0.3333333333333333,0,0,1.0,0.0,0.3333333333333333,0.3333333333333333
